abstract,authors,n_citation,references,title,venue,year,id
"At Dartmouth College the ""computer"" has become an essential component of the university community comparable to the library in importance, size, and diversity of application. While such a statement no longer raises eyebrows, in few other cases has the extent of the infusion of computing into the life of the university community been as great, or as painless, as at Dartmouth. The purpose of this paper is to report some of the many ways in which computing has been found useful in teaching and research at Dartmouth, and to claim that these almost revolutionary (though almost painless) developments were generated primarily by having freely available to all students and faculty a general purpose time-sharing system equipped with a simple and easy to learn language (BASIC), and a simple and friendly user interface.",['Thomas E. Kurtz'],1,[],The many roles of computing on the campus,,1969,f9b6bb45-dea9-46db-b278-52b40ef05343
"Two procedures are presented for detecting and diagnosing arbitrary single-gate failures in combinational logic circuits. A gate is defined as any multiple-input single-output combinational circuit, and a failure is any detectable transformation of the correct gate function. The testing procedures do not require the construction of a fault table and will locate, to within an equivalence class, the faulty gate and describe its failure.","['Gary D. Hornbuckle', 'Richard N. Spann']",50,"['39a283b6-5247-48b6-9132-cd5b1f29d738', '8c696edb-23e3-4d60-b376-7accda99e8ff', 'e187c457-1e0d-40ac-bddd-36831fdc14f2']",Diagnosis of Single-Gate Failures in Combinational circuits,IEEE Transactions on Computers,1969,57413eea-0383-4e69-b9af-51c59987877a
,['Jaroslav Král'],1,,On multiple grammars.,Kybernetika,1969,7a3be060-2817-430b-931c-13b3278a00ba
"The Real Time Operating System/360 (RTOS/360), a modified version of the standard IBM System/360 Operating System (OS/360), was developed by the Federal Systems Division (FSD) of IBM for support of the Real Time Computer Complex (RTCC) during NASA's Apollo spaceflights. RTOS/360 is a real time, multi-tasking, multi-jobbing operating system that extends the basic features of OS/360 and adds additional features to:   • Process real time data   • Provide simplicity of use for the applications programmer   • Ensure fast response system activity (requirements range from one-tenth of a second to one second)   • Improve efficiency   • Provide support for special devices not supported by OS/360   • Provide a fail-safe system   • Increase job shop throughput",['J. L. Johnstone'],3,['c84f0d1e-6e39-4755-b758-46641fb2fbb3'],RTOS: extending OS/360 for real time spaceflight control,,1969,883158f0-7f0c-4f68-81f4-7fd4e4801907
The Computation Center of The University of Texas at Austin provides remote console access to a CDC 6600 computer through a system called RESPOND. RESPOND was written by Control Data Corporation and has been in operation at The University for more than two years.,"['Herbert D. Schwetman', 'James R. Deline']",50,['cab95689-0a52-40f3-9a7c-987da74fb402'],An operational analysis of a remote console system,,1969,659b56e6-532b-470e-80a7-d659b41b1c48
"The use of computer-graphic technology to produce low-cost films for education promises enormous educational benefit at modest cost. For educators, these technical developments are but a means to an end which has thus far received too little attention---the production of visual images that in their ability to communicate ideas are superior to traditional graphical images on paper or blackboard.","['William H. Huggins', 'Doris R. Entwisle']",4,[],Computer animation for the academic community,,1969,51925dc9-3c97-49d8-a6bd-741e7f9da14c
"The foundations of a ""constraint theory"" whose goal is the systematic analysis of consistency and computability in heterogeneous mathematical models of very high dimension were established in a previous paper [1]. The eventual objective of this theory is to automate the automatic determination of whether a complex mathematical model and its required computations are ""well posed."" This part concentrates on the topological properties of the bipartite model graph defined in [1] and the application of these properties to the location of intrinsic constraint in large mathematical models composed of ""regular"" relations. In particular, the model graph concepts of connected components, trees, circuits, circuit rank, circuit index, and constraint potential are defined with sufficient precision to allow automatic computation. Regular relations, the most commonly employed for scientific models, are defined and the sources of constraint are identified with the ""basic nodal square,"" a special subgraph embedded within the total model graph. A procedure is then developed which uses the topological properties developed earlier to locate the basic nodal squares within a large complex model graph. The ultimate use of the sources of intrinsic constraint is to check the consistency of the model and the allowability of the computations put to it.","['George J. Friedman', 'Cornelius T. Leondes']",14,['7430c82c-e862-4ae5-a342-5a382dd02c49'],"Constraint Theory, Part II: Model Graphs and Regular Relations",IEEE Transactions on Systems Science and Cybernetics,1969,9e125efb-916a-4660-b9b3-d60259f0093a
"The current developments of computer-assisted instruction (CAI) can be characterized as a phased transition from the creation of hardware and language systems for implementation into the more fundamental examination of the features of optimal instructional strategies for CAI applications. Instructional strategies are the plans by which informational presentations are matched with the current requirements of a learner in order to optimize on a set of criterion objectives. The research approaches into the nature and process of instructional strategies has been twofold, namely, naturalistic and systematic.",['Duncan N. Hansen'],0,,CAI: research requirements for instructional strategies,,1969,55e88d24-b23a-4fcb-bf22-546369cdfe81
A new interpretation of the Viterbi decoding algorithm based on the state-space approach to dyamical systems is presented. In this interpretation the optimum decoder solves a generalized regulator control problem by dynamic programming techniques.,['Jim K. Omura'],43,['3595fa71-68db-476e-9cb7-ad6ece6f446e'],On the Viterbi decoding algorithm,IEEE Transactions on Information Theory,1969,bba37438-b927-4b3f-9e7c-d3fc9f365d85
,['Jon Barwise'],137,[],Infinitary logic and admissible sets,Journal of Symbolic Logic,1969,77d3dc5b-0fb3-4303-8703-14e9f9b13524
"The purpose of this paper is to develop an analytic foundation for the determination of whether a mathematical model and its desired computations are ""well-posed"" in order to help alleviate the software problems associated with the simulation of complex large-scale systems by heterogeneous mathematical models involving several hundred dimensions. The problem is approached by providing a rigorous basis for the commonplace notion of constraint. Four distinct viewpoints of the mathematical model are established: 1) the set theoretic relation space; 2) the family of submodels; 3) the bipartite graph, which provides topological insight; and 4) the constraint matrix. Fundamental definitions of mathematical model consistency, computational allowability, and extrinsic and intrinsic constraint are established on a set theory basis. Correspondences are proved between the topological properties of a model's graph and its constraint properties. Variables located in different connected components of a graph are always mutually consistent, but computations performed on them are never allowable. If a model graph of universal relations has a tree structure, then all its variables are mutually consistent. Detailed treatment of special relation classes will be given in Parts II and III.","['George J. Friedman', 'Cornelius T. Leondes']",50,[],"Constraint Theory, Part I: Fundamentals",IEEE Transactions on Systems Science and Cybernetics,1969,7430c82c-e862-4ae5-a342-5a382dd02c49
"A survey of the literature related to man-computer interaction reveals the many aspects of this problem, which appears to be in the crossroads among such diverse fields as computer languages, computer systems operational characteristics, control theory, decision theory, information theory, applied psychology, computer display and interface engineering, etc. In this paper we have chosen to present the on-line interaction from an information and decision point of view. After a brief discussion of classes of on-line situations and tasks, we propose an information-processing model of the case in which a human operator is engaged on-line in the solution of a problem like debugging a program, testing a model in a scientific application, or performing a library search. In this model the human operator is considered to seek to maximize overall cost. This cost is obtained by adding the operational cost of both man and computer to a remnant terminal cost originated by the remaining uncertainty. This analysis, performed for each of a set of possible alternatives for action, may lead the man to select and execute one of them, to terminate the process, or to reevaluate the possible alternatives and/or hypotheses in a search for new ones. Some practical applications in terms of response time and other characteristics of a computer utility are discussed, as well as some theoretical implications from an informational point of view.",['Jaim \\ Ie R. Carbonell'],36,"['2cc04a5c-e967-4a44-9f3f-665b50252276', '4a5e3f94-af92-4877-948d-39e1dce4a501', '8d0a6204-aec2-4db3-88f8-abea6804bdfa']",On Man-Computer Interaction: A Model and Some Related Issues,IEEE Transactions on Systems Science and Cybernetics,1969,9d213b54-c91c-42fd-8b3d-623d8034459d
,['Erik Ellentuck'],5,[],A Choice Free Theory of Dedekind Cardinals,Journal of Symbolic Logic,1969,7c08b256-4d91-4efb-b00b-ddc461d70a92
"There are grounds for questioning whether translation done by computer should resemble closely, either in process or in product, translation done manually. Several workers in machine translation have proposed radical departures from the naively adopted goal of simulating manual translation mechanically. Because they saw a similarity between their mechanically feasible output and the pidgin languages that saw a similarity between their mechanically feasible output and the pidgin languages that have arisen naturally in some parts of the world, they dubbed their proposals 'pidgin translation'.This paper explores a more rigorous approach, which may be described as follows: texts in one language are encoded into words and other morphs taken from a second language, but this is done  without disturbing the syntax  of the source language. The term 'transcoding' is coined to denote that process. Transcoding results in a product in many ways similar to earlier types of pidgin translation (and incidentally more like natural pidgin languages than the latter were), but is founded on the principle that no information-bearing elements at all may be lost in the process. This principle is embodied in two strict guidelines:1. Each and every grammatical morph in the original must be reproduced in the transcoded text by a code morph; the linear order of elements is not to be changed.2. The transcoding dictionary (the codebook) must be so constructed as to preserve all the lexical contrasts inherent in the source vocabulary.These guidelines are investigated and supplemented, and their effects are predicted with regard to (1) the output, (2) the user's ability to interpret transcoded material and to learn to interpret it better, (3) the possibility of employing transcoding to make rough drafts for the human professionals in translation agencies to revise.Sample passages of transcoded Arabic and transcoded Chinese are presented, following which some comparisons are made between transcoding and pidgin translation, machine translation as practised or envisioned, and manual translation.","['Theo Hofmann', 'Brian Harris']",0,,Machine transcoding,international conference on computational linguistics,1969,f3db1748-6baf-4c4d-9c25-738973f03cf3
"The automata roots of path sensitizing fault diagnosis are discussed. It is demonstrated that the path sensitizing diagnosis method is equivalent to a Moore type ""machine identification"" experiment for a machine class which contains good and faulty copies of a transmission path submachine of a complete machine. The maximum length of a complete set of path sensitizing tests for a machine is proporational to n, the number of states in the complete machine, rather than n2 as required by direct use of the Moore ""machine identification"" method without partitioning of the complete machine into a set of submachines. For memoryless irredundant machines the fault resolution power of a complete set of path sensitizing tests is, nevertheless, the maximum which is possible if no submachine with a fault is used as a sensitizing vehicle. The use of the path sensitizing method in irredundant sequential machines with memory, on the other hand, may not yield the maximum fault resolution power since those faults which have been grouped together in the faulty copy of a particular transmission path submachine may be distinguishable from each other.",['Thomas A. Kriz'],0,"['391df69e-c903-431e-a6b2-8d254a00f240', '39a283b6-5247-48b6-9132-cd5b1f29d738', '842f9cf3-2f9e-4ef5-b5b8-ff4345319054', 'b0f6455a-6f99-42c5-8502-4fa535768ceb', 'b8bca584-3129-4dc2-8654-e4a0de1eefc5', 'ebb5ad03-c65b-403d-89d1-c4fb514ba43d', 'f9f4d895-ee5f-4976-b62b-11d07310ee68']",Machine identification concepts of path sensitizing fault diagnosis,foundations of computer science,1969,eec77e81-87a6-4e8e-9893-6ae4d6b03d44
"An adder is described for addition of a large number of binary numbers x j , j=1, 2, ⋯, m, where x j =∑ i x ji ⋅ 2 i , x ji =0, 1, i=0, 1, ⋯, n-1. The adder's algorithm has two parts: 1) the bits x ji are added independently for each binary order i:s i =∑ j x ji ≦m and the result expressed in the binary form s i =∑ k a ik , ⋅ 2 k , a ik =0, 1, k=0, 1,⋯, p-1 (where 2 p-1 ≦m p ); 2) the sum y=∑ j x j is formed by adding terms s ik · 2  i+k as contributions of the bit s ik to the total y. A hardware implementation of this algorithm is suggested where the sum s; is obtained by a sequential circuit which reorders the values x ji so that their sum s i , remains unchanged and so that after the reordering the new values x ji  i obey the conditions x j+1,i ≦x ji for every j=1, 2,⋯, m-1. The implementation with integrated circuits should be quite rewarding because the control of the circuit is done with independent control elements distributed all over the chip.",['Antonin Svoboda'],8,['c8f55674-1835-4735-950b-ba93d2b4f377'],Adder With Distributed Control,IEEE Transactions on Computers,1970,727fbc78-89ce-4edf-8565-ca861a4f11d2
"This paper describes procedures to process part of the information affecting decisions about unmanned exploration of the solar system. Since direct iteration between analysts and several levels of decision makers is, at best, a slow process, we have attempted to design the results of the analysis so that such iteration will not be necessary. In particular, we have avoided attempting to encode decision makers' judgments of probabilities or relative worths, relying instead on the technical judgments of technical experts in their areas of competence. Specifically, the contributions of proposed sequences of unmanned missions toward achieving the primary scientific objectives of exploring the solar system are determined. Consideration of the relative worths of these objectives, however, is left to the decision makers. Risks and uncertainties are explicitly considered, and results are depicted by probability contours. The utilization of resources-funding and manpower-is estimated and displayed. However, decisions cannot be made solely on the basis of the information processed with these procedures. Hence, mission sequences that the procedures indicate are less than optimal are retained. Since portions of the scientific objectives may be fulfilled or preempted by the space exploration programs of other nations, several foreign space programs are assumed as background to provide further insight into the wisdom of alternative decisions.","['R. G. Chamberlain', 'L. Kingsland']",0,['66ae375e-8f33-4188-a838-a12a37a7c365'],A Methodology to Compare Policies for Exploring the Solar System,Operations Research,1970,679fa35b-9042-4714-a036-101ab4d89bba
"This paper develops a method for finding the minimax solutions to a game whose payoff function is of the form XtAY/XtBY, where X, Y are mixed-strategy vectors and A, B > 0 are matrices. Such a payoff function arises in stochastic games, economic models of an expanding economy, and some nonzero-sum game formulations. The game is transformed into a linear program with a parameter in the constraint set. By successive solutions of this program with appropriate values of the parameter, the value and optimal strategies of the game can be approximated to any desired degree of accuracy. A new approach of perturbing linear programs is used to prove convergence of the computational technique and to bound the rate of convergence.",['Roger G. Schroeder'],8,[],Linear Programming Solutions to Ratio Games,Operations Research,1970,b0e5d3ab-497a-444d-b8c6-ce7c255c9538
"Optimal (least-mean-square linear) filtering of random signals prior to sampling may be represented as a Wiener-Kalman state-variable filter followed by a coder that synthesizes the signal to be sampled as a linear combination of the estimated states. Although the prefilter doubles the number of states of the overall presampling signal process, the postsampling reconstruction filter need only model the original signal generator and the coder. Overall optimization involves selecting the parameters of the coder to minimize a weighted time-averaged error criterion.",['Daniel P. Petersen'],50,[],Reexamination of the prefiltering problem in a state-variable formulation (Corresp.),IEEE Transactions on Information Theory,1970,c9b96833-3cd3-43bb-8288-75ccd5fadf63
"Two classes of restricted top down parsing algorithms using backtrack are considered. We show that the smaller class recognizes all deterministic context free languages, and that both classes can be simulated in linear time on a random access machine. Certain generalizations of these parsing algorithms are shown equivalent to the larger class. Finally, some decision and closure properties of the classes of languages defined are given.","['Alexander Birman', 'Jeffrey D. Ullman']",55,"['1cd14a3d-0a9f-40d6-9de8-07d1a7d88c12', '6e9e6859-10c5-4285-b269-c4f2183141c8']",Parsing algorithms with backtrack,foundations of computer science,1970,71625fae-1e1a-4060-bb0a-86f3bb7cdd82
"Es wird ein Verfahren angegeben, das die Konstruktion von Einschliesungsgebieten fur die Komponenten des zum absolut grosten Eigenwert μ eines normalen OperatorsT in einem unitaren Raum gehorigen Eigenvektors gestattet, soferne |μ| einfacher Eigenwert von |T| ist. Die Einschliesung wird durch Angabe von Schranken fur die Argumente und fur die absoluten Betrage der Komponenten gegeben.",['H.-J. Dirschmid'],0,[],Zur Einschließung der Komponenten des ersten Eigenvektors normaler Operatoren in unitären Räumen,Computing,1970,01d59b8c-8cba-4825-8185-5557bde3f8fa
,['Erik Ellentuck'],3,[],A Coding Theorem for Isols,Journal of Symbolic Logic,1970,b444b27c-74da-4c25-909c-061b5852962c
Die Konvergenzordnung eines Differenzenverfahrens ist von den Differenzierbarkeitseigenschaften der Losung der Differentialgleichung abhangig. Bei parabolischen Anfangsrandwertaufgaben werden diese durch die Anfangsfunktion bestimmt. Es wird das Verhalten der Konvergenzordnung in Abhangigkeit von der Anfangsfunktion untersucht.,['Burkhard Monien'],0,[],"Über die Konvergenzordnung von Differenzenverfahren, die parabolische Anfangsrandwertaufgaben approximieren",Computing,1970,6b07294d-4b3b-4e0d-8e2d-1e5e30b13f7b
"The mini-computer has a wide variety of uses: communications controller; instrument controller; large-system pre-processor; real-time data acquisition systems...; desk calculator. Historically, Digital Equipment Corporation's PDP-8 Family, with 6,000 installations has been the archetype of these minicomputers.","['Gordon Bell', 'R.L. Cady', 'McFarland Hr', 'Bruce Delagi', ""J.W. O'Laughlin"", 'Ronald Noonan', 'William A. Wulf']",50,[],A new architecture for mini-computers: the DEC PDP-11,,1970,51d29933-dae9-48ef-b0ac-912111eb4864
In der vorliegenden Arbeit werden zwei Algorithmen zur Behandlung von linearen Gleichungssystemen mit Intervallkoeffizienten in ALGOL-60 angegeben. Damit ist es moglich auf Rechenanlagen mit ALGOL-60 Compilern solche Aufgaben unter Einschlus samtlicher Rundungsfehler durchzufuhren. Zum Verstandnis der angegebenen Prozeduren ist einleitend eine knapp gehaltene Darstellung der programmierten Verfahren vorangestellt.,"['Gotz Alefeld', 'Jürgen Herzberger']",2,"['90537de6-cbff-4c3e-9c83-87fe4d174e48', 'dc59a85e-1f1d-4b44-abdb-3fc29fb23575']",ALGOL-60 Algorithmen zur Auflösung linearer Gleichungssysteme mit Fehlererfassung,Computing,1970,4dabbac0-28d7-477a-bab5-00ae2f6e3bb9
The postural control system in normal humans is studied by applying a mechanical torque disturbance to the system. It is shown that the response of the system can be approximated by a second-order differential equation where the parameters depend on the state of the system.,"['Gyan C. Agarwal', 'Bradley M. Berman', 'Lawrence Stark']",15,[],Studies in Postural Control Systems Part I: Torque Disturbance Input,IEEE Transactions on Systems Science and Cybernetics,1970,6181f07c-1885-42ec-ba5f-f7f3441b932c
"This paper is concerned with the transmission of information with a fidelity criterion where the source output may be distorted prior to encoding and, furthermore, where the output of the decoder may be distorted prior to its delivery to the final destination. The criterion for optimality is that the normalized average of the squared norm of the difference between the T - second undistorted source sample and the corresponding T -second sample delivered to the final destination be minimum. The optimal structure of the encoder and decoder is derived for any T .","['Jack K. Wolf', 'Jacob Ziv']",194,['3db9aac2-bfe9-4fbb-be66-4ba330e38ee0'],Transmission of noisy information to a noisy receiver with minimum distortion,IEEE Transactions on Information Theory,1970,56397ad0-a219-45cd-8045-b0cc22388c4d
"Dynostat is the name given to a system optimization technique employing both instantaneous and predictive optimum seeking strategies in parallel. Although it has both off-line and on-line capabilities of application this account is concerned mainly with an explanation of the essentials of the technique in the context of off-line optimization studies. A brief description of a successful application study of a practical problem in industry is also included. The technique is explained in a progressive manner by considering an example for which there is a requirement for an optimum schedule of alternative energy sources. As is well known, optimum scheduling using the dynamic programming technique is restricted in practice by limitations in computer storage and computing time to systems with few independent variables. However, in certain classes of multichannel systems some of these variables appear naturally, or by reasonable approximation can be made to appear, in a static section of the system, and it is shown that optimizing their values need consume only little computer time and storage. The remainder of the variables are in the dynamic section and their optimization makes a heavy demand on computational facilities. The Dynostat technique handles both types of variables in a single computer algorithm. An indication of a projected on-line configuration of Dynostat is presented in a statement of developments of the technique currently under study.","['J. A. Gibson', 'Graham E. Coombes']",50,"['3d2db32e-5855-438c-a68b-f70f91f6714f', '885454fd-93f8-4af5-8bf8-c67357d7f597', 'e32bb4ee-732d-4e4e-8efa-b714113a11b5']",A Parallel Optimum Seeking Technique-Dynostat,IEEE Transactions on Systems Science and Cybernetics,1970,c9936a07-df4a-4a57-af37-9af52e3fbf0b
"In many applications a Poisson shot noise (PSN) process is said to statistically ""represent"" its intensity process. In this paper an investigation is made of the relationship between a PSN process and its intensity, when the latter is a sample function of a continuous stochastic process. The difference of the moments and the mean-square difference between the two processes are examined. The continuity assumption on the intensity permits the development of a sequence of moment relationships in which the effect of the PSN parameters can be seen. The results simplify and afford some degree of physical interpretation when the component functions of the PSN are ""rectangular,"" or when the intensity process does not vary appreciably over their time width. An integral equation is derived that defines the component function that minimizes the mean-square difference between the two processes. It is shown that a ""degenerate"" form of component function induces complete statistical equality of the two processes. The problem has application to optical communication systems using photodetectors.","['Sherman Karp', 'Robert M. Gagliardi']",50,['acc6290a-bce8-44a6-98be-6b2c18a50265'],On the representation of a continuous stochastic intensity by Poisson shot noise,IEEE Transactions on Information Theory,1970,92a1959e-44c2-47a7-b8a5-7750c20f7dca
,['Derick Wood'],3,,A generalised normal form theorem for context-free grammars,The Computer Journal,1970,ee323a2a-7138-4455-a0dc-fe722d6abcb9
"Many-valued switching systems have been of considerable academic interest, despite the apparent inability to use them in practical applications. The main drawbacks, as pointed out by a number of authors, are the difficulties associated with the implementation of the functional basic set and the lack of adequate simplification techniques.","['Zvonko G. Vranesic', 'E. S. Lee', 'Kenneth C. Smith']",106,"['3b5ff6e7-8d61-43f6-bb97-1deb03eab465', '8857e38a-a474-4ea6-a697-dd1ae9799634']",A Many-Valued Algebra for Switching Systems,IEEE Transactions on Computers,1970,c973e5b8-9b9a-479a-9f42-5dae5398aa57
"Secondary clustering as a cause of hash code inefficiency is discussed, and a new hashing method based on its eliminiation is presented. Comparisons with previous methods are made both analytically and empirically.",['James R. Bell'],70,['d559b371-38db-4957-831f-ab3f05713cf6'],The quadratic quotient method: a hash code eliminating secondary clustering,Communications of The ACM,1970,ce81d887-6704-4fb0-b6c4-3e2c6cd091ea
The continuous-space discrete-time (CSDT) method of solving initial-boundary value problems for partial differential equations leads to two-point boundary-value problems for a system of ordinary differential equations. In order to solve such problems on an analog computer it is necessary to find an algorithm which expresses the desired solution in terms of initial-value problems. Various methods for accomplishing this are discussed in a recent survey article by Vichnevetsky.,['P.A. Nelson'],0,['330b62f1-2e27-4744-a0c7-d574258a3034'],Application of invariant imbedding to the solution of partial differential equations by the continuous-space discrete-time method,,1970,690f709f-2fd3-4d2e-b275-f1ab11f7dfa4
The study of time-sharing scheduling algorithms has now reached a certain maturity. One need merely look at a recent survey by McKinney in which he traces the field from the first published paper in 1964 to a succession of many papers during these past six years. Research which is currently taking place within the field is of the nature whereby many of the important theoretical questions will be sufficiently well answered in the very near future so as to question the justification for continuing extensive research much longer without first studying the overall system behavior.,['Leonard Kleinrock'],50,"['2e3a7854-425a-4af6-a63d-4188a6326262', 'cc40912e-d1cb-4456-8f89-d90174038226', 'e272a417-668c-48da-a008-41083cc8f40c']",A contiuum of time-sharing scheduling algorithms,,1970,b2d4b0f4-261c-4754-8842-3b5a42f41d46
"Automation of the design of computer logic has evoked wide-spread interest and activity. Nevertheless, detailed comparisons of automatically generated logic and manually prepared logic have not been made available.   The ALERT program is a logic generator which accepts as input a summary description of a new computer in a high-level language, and from this it compiles logic designs to carry out the functions specified. This paper examines the quality of logic generated by the ALERT system.   The specifications of several computers have been processed through the ALERT system. This report discusses the most comprehensive design processed, the central processor of the IBM 1800 computer.   The 1800 had been designed by conventional manual techniques prior to this study, and its logic schematics were, therefore, available for comparison with the logic generated by ALERT.   It was found that the automatically produced circuitry required 160% more components than used in the corresponding parts of the actual computer. Reasons for this discrepancy are considered, and methods are described which are expected to reduce the discrepancy between automatically generated designs and manual designs.   The study indicates that automatic generation of computer logic and circuitry from high-level system descriptions offers a practical and viable alternative to traditional methods of logic design. Within the limits of the study, the automatically prepared design was found to be correct, functional, and manufacturable.","['Theodore D. Friedman', 'Sih-Chin Yang']",50,"['4fa48260-34c4-4222-b53d-a6a4c3539d9b', '74bfafec-9116-4f4e-b32a-6726a7ce8d30', 'a025ea11-77ec-428f-9bdf-d4339931a1f6', 'a2dad964-0978-4f01-8c34-233c3f24bf9e', 'bb6fa95b-63ca-44b6-aaf4-d7dd1947529f']",Quality of designs from an automatic logic generator (ALERT),design automation conference,1970,ea05b619-6386-4328-8056-4d5e29162153
"A program scheme may be informally described as a program with the interpretation (i.e., the meaning of the basic instructions or standard functions) left unspecified. This paper studies the equivalence of program schemes under different classes of interpretations, with emphasis on those in which the functions are permitted to be partial. Several different equivalence relations are defined, and their interrelationship and solvability examined both for the class of all program schemes, and for each subclass (n>=1) in which the number of registers is at most n.",['Robin Milner'],50,"['5bee89e9-ef1f-45da-bd50-d309019c06ef', 'b0f6455a-6f99-42c5-8502-4fa535768ceb']",Equivalences on program schemes,Journal of Computer and System Sciences,1970,937e4861-0e84-49e6-be09-a72ea4f9e07c
"Two practical considerations concerning the use of computing machines are the amount of information that must be given to the machine for it to perform a given task and the time it takes the machine to perform it. The size of programs and their running time are studied for mathematical models of computing machines. The study of the amount of information (i.e., number of bits) in a computer program needed for it to put out a given finite binary sequence leads to a definition of a random sequence; the random sequences of a given length are those that require the longest programs. The study of the running time of programs for computing infinite sets of natural numbers leads to an arithmetic of computers, which is a distributive lattice.",['Gregory J. Chaitin'],23,"['0c0404b0-f23d-4b86-9097-d718a166ca06', '1a8620c2-bd3c-409e-9fe2-08999e525cea', '30d6974a-89c0-45c6-b7d1-31385ce46166', '3397eb49-c98f-49c4-b2b1-5b7754a95063', '9d141acb-2179-4046-9546-892a353946ff', 'c478eb19-f6b7-49a3-9ce1-3a98e69ebfa5', 'd3e02530-7dca-4e01-8789-3490b8f1ca4f', 'f41747f4-768b-486b-93bd-bfa405b68976']",On the difficulty of computations,IEEE Transactions on Information Theory,1970,b12dcc5b-611d-4dbb-ba2e-d06329963e6e
"In this paper a computer network is defined to be a set of autonomous, independent computer systems, interconnected so as to permit interactive resource sharing between any pair of systems. An overview of the need for a computer network, the requirements of a computer communication system, a description of the properties of the communication system chosen, and the potential uses of such a network are described in this paper.","['Lawrence G. Roberts', 'Barry D. Wessler']",113,"['2e3765cb-23a1-483f-b06a-92ada13e7fb4', '3340d505-a639-4a69-bf18-c7e03981d858', '704bf13e-fd02-4329-ba72-922c6cc5bb8b', 'd812b466-f540-4936-a9b6-7bd6b299c108']",Computer network development to achieve resource sharing,,1970,78425ea8-6444-4078-9fb1-c7106a3a9407
An explanation is provided for the prevalence of apparently convergent relative frequencies in random sequences. The explanation is based upon the computational-complexity characterization of a random sequence. Apparent convergence is shown to be attributable to a surprising consequence of the selectivity with which relative frequency arguments are applied; it is a consequence of data handling rather than an underlying law or good fortune. The consequences of this understanding for probability and its applications are indicated.,['Terrence L. Fine'],50,"['859b8745-baba-48e0-afc6-77ad082323f2', 'c478eb19-f6b7-49a3-9ce1-3a98e69ebfa5']",On the apparent convergence of relative frequency and its implications,IEEE Transactions on Information Theory,1970,86dddfd1-9fff-461c-b677-8774bbe7114b
"Not so many years ago,  SKETCHPAD  and DAC set the whole world of computing on a philosophical bender. People, who either knew little of the subject or else should have known better, started talking up a storm. The whole of engineering was about to be revolutionized and everyone should prepare  now  or be sunk, to drown in their own ignorance.","['Edgar H. Sibley', 'Robert W. Taylor', 'W. L. Ash']",50,"['359d8bcc-fa3c-479e-9e8f-a38bfc56a63d', 'b6fd16e1-15d3-4c18-80cb-17f59af51c20']",The case for a generalized graphic problem solver,,1970,7a9acdce-78bc-4077-8f0c-115d5e574c44
"Deterministic and probabilistic sequential machine theory is used to solve the estimation, prediction, and smoothing problem encountered in noisy discrete parameter systems such as digital data processors and information processing systems. Using Bayes' theorem, the equations describing the ideal estimator, predictor, and smoother are developed. These equations are used to define an infinite-state Mealy-type sequential machine that performs these calculations.",['Taylor L. Booth'],7,[],"Estimation, Prediction, and Smoothing in Discrete Parameter Systems",IEEE Transactions on Computers,1970,74d9e119-0db6-42a5-92f6-d02691a346a9
"This paper is based on the keynote address given at the 36th National Meeting of the Operations Research Society of America in Miami Beach, Florida; the theme of the meeting was ""Operations Research in the Development of Emerging Countries.""",['Chandler Harrison Stevens'],50,[],"Science, Government, and Citizen Feedback",Operations Research,1970,d236112c-f512-40bd-8c70-c0176ae2ae0d
"A hybrid computer is described for implementing decision-directed estimators for the two-class unsupervised estimation problem. Extensions of the system design to the multiclass problem has significant application to computerized medical diagnosis and other problems in communications and pattern recognition. These problems include resolving multiple target bearings in sonar and radar, clustering data such as arise in cell processing, locating modes in density functions for use in interactive data analysis systems, data compression, elimination of intersymbol interference, and many others.","['Edward A. Patrick', 'Joseph Peter Costello', 'F.C. Monds']",4,"['05883a5b-0926-403b-86ed-3d0e3862b791', '1654b59c-0288-4a3d-b30a-59441600997e', '956820ea-9647-440c-8712-462297ff57dd', 'a0a9035d-42c3-4ee8-abfd-67bdb3a18c0a', 'c5df5b1b-9ac7-4e16-8222-aa18b3745bfd', 'eeeb7f31-15c7-4500-ab20-7b5591a02729']",Decision-Directed Estimation of a Two-Class Decision Boundary,IEEE Transactions on Computers,1970,beab31cb-6897-443d-ae28-4bc2fe92c204
"A procedure is presented for specifying how long a supervisor or monitor of a process should wait between input samples to maximize a given value or payoff function, assuming he resets the controls with each sample as a function of the best information he has. The procedure is based upon Bayesian preposterior information analysis.",['Thomas B. Sheridan'],155,['4a5e3f94-af92-4877-948d-39e1dce4a501'],On How Often the Supervisor Should Sample,IEEE Transactions on Systems Science and Cybernetics,1970,b0b36a95-3b61-46aa-86ed-31508dd55ef2
"Improved mathematical optimization procedures are steadily finding wider use in engineering system studies, but the difficulties associated with the solution of discrete decision variable models remain formidable. An algorithm is described which will solve a certain class of problems formulated as linear integer programs. The procedure employs parallel shifts of selected boundary planes. This is accomplished by incrementing the appropriate slack variables which are constrained to be integers when the restraint conditions are formulated as diophantine equations. A hierarchy of variables is established to direct the boundary shifts. Feasibility and sensitivity tests truncate the search.","['Robert M. Saunders', 'Roland Schinzinger']",5,['3cb3f597-014c-4b68-9940-22d6c6e27591'],A Shrinking Boundary Algorithm for Discrete System Models,IEEE Transactions on Systems Science and Cybernetics,1970,78342d7c-5be3-4b68-96f7-92e86156b6dd
